functionType,MatrixSize,Real Time
Normal Mult,1800,8.041668858
Normal Mult,1800,8.092836356
Normal Mult,1800,8.071701177
Normal Mult,1800,8.252953375
Normal Mult,1800,8.067432192
Normal Mult,1800,7.919508289
Normal Mult,1800,8.074275375
Normal Mult,1800,8.050630317
Normal Mult,2200,15.668003765
Normal Mult,2200,15.449593456
Normal Mult,2200,15.46532953
Normal Mult,2200,15.607560109
Normal Mult,2200,15.553985003
Normal Mult,2200,15.199957038
Normal Mult,2200,15.43414058
Normal Mult,2200,15.056949668
Normal Mult,2200,15.590113587
Normal Mult,2200,14.958107536
Normal Mult,2200,15.200311239
Normal Mult,2200,15.489848778
Normal Mult,2200,15.144916143
Normal Mult,2200,15.127183219
Normal Mult,2200,15.319944985
Normal Mult,2200,15.012352251
Normal Mult,2200,15.496716534
Normal Mult,2200,15.177286758
Normal Mult,2200,15.46482391
Normal Mult,2200,15.135138356
Normal Mult,2200,14.419650734
Normal Mult,2200,15.124814882
Normal Mult,2200,15.080375381
Normal Mult,2200,15.086657206
Normal Mult,2200,15.229774379
Normal Mult,2200,15.316337435
Normal Mult,2200,15.298641149
Normal Mult,2200,15.049801661
Normal Mult,2200,15.291354792
Normal Mult,2200,15.070625459
Normal Mult,2200,15.460684225
Normal Mult,2600,27.339056077
Normal Mult,2600,26.919028709
Normal Mult,2600,27.089987971
Normal Mult,2600,27.41767075
Normal Mult,2600,27.341391588
Normal Mult,2600,27.381793907
Normal Mult,2600,27.190965171
Normal Mult,2600,27.395908407
Normal Mult,2600,27.110559737
Normal Mult,2600,24.042942016
Normal Mult,2600,19.491076655
Normal Mult,2600,21.442238664
Normal Mult,2600,21.072512112
Normal Mult,2600,21.410869001
Normal Mult,2600,21.710077639
Normal Mult,2600,21.675165869
Normal Mult,2600,22.808283256
Normal Mult,2600,25.733379461
Normal Mult,2600,27.149857102
Normal Mult,2600,22.789582647
Normal Mult,2600,22.274722286
Normal Mult,2600,26.358847827
Normal Mult,2600,24.635871972
Normal Mult,2600,21.986719269
Normal Mult,2600,22.969985948
Normal Mult,2600,27.856273773
Normal Mult,2600,26.234226561
Normal Mult,2600,25.487953365
Normal Mult,2600,26.067431988
Normal Mult,2600,25.859518498
Normal Mult,2600,26.42124336
Normal Mult,3000,42.087439081
Normal Mult,3000,41.500908527
Normal Mult,3000,40.917988806
Normal Mult,3000,36.932822624
Normal Mult,3000,38.455427024
Normal Mult,3000,35.66125652
Normal Mult,3000,38.043897924
Normal Mult,3000,37.544769185
Normal Mult,3000,39.321979035
Normal Mult,3000,40.037965319
Normal Mult,3000,40.280451287
Normal Mult,3000,35.897247792
Normal Mult,3000,42.823102776
Normal Mult,3000,41.266414063
Normal Mult,3000,37.82203981
Normal Mult,3000,33.410671659
Normal Mult,3000,33.423277057
Normal Mult,3000,33.393603346
Normal Mult,3000,36.253650953
Normal Mult,3000,32.923164217
Normal Mult,3000,41.607068305
Normal Mult,3000,36.155245281
Normal Mult,3000,36.211446077
Normal Mult,3000,32.98094025
Normal Mult,3000,34.368031515
Normal Mult,3000,34.658824112
Normal Mult,3000,37.421744182
Normal Mult,3000,33.235306097
Normal Mult,3000,40.05497169
Normal Mult,3000,36.982671444
Normal Mult,3000,35.791404346
Inline Mult,600,0.065317001
Inline Mult,600,0.051062878
Inline Mult,600,0.053177071
Inline Mult,600,0.052018852
Inline Mult,600,0.050059317
Inline Mult,600,0.050075507
Inline Mult,600,0.049662066
Inline Mult,600,0.049313687
Inline Mult,600,0.049265736
Inline Mult,600,0.048443553
Inline Mult,600,0.048719258
Inline Mult,600,0.048809115
Inline Mult,600,0.049364401
Inline Mult,600,0.048555933
Inline Mult,600,0.048537118
Inline Mult,600,0.048550624
Inline Mult,600,0.049089528
Inline Mult,600,0.051066806
Inline Mult,600,0.055754748
Inline Mult,600,0.05363202
Inline Mult,600,0.056749804
Inline Mult,600,0.053167603
Inline Mult,600,0.051012574
Inline Mult,600,0.051323765
Inline Mult,600,0.05610958
Inline Mult,600,0.050024632
Inline Mult,600,0.049992923
Inline Mult,600,0.050634539
Inline Mult,600,0.048666499
Inline Mult,600,0.050185853
Inline Mult,600,0.050900816
Inline Mult,1000,0.266578649
Inline Mult,1000,0.256527755
Inline Mult,1000,0.245476686
Inline Mult,1000,0.238892156
Inline Mult,1000,0.248349244
Inline Mult,1000,0.243739598
Inline Mult,1000,0.245817533
Inline Mult,1000,0.240869986
Inline Mult,1000,0.227264102
Inline Mult,1000,0.226169992
Inline Mult,1000,0.22765425
Inline Mult,1000,0.225888417
Inline Mult,1000,0.226990562
Inline Mult,1000,0.225719653
Inline Mult,1000,0.226632366
Inline Mult,1000,0.227040266
Inline Mult,1000,0.225232394
Inline Mult,1000,0.226986286
Inline Mult,1000,0.226005868
Inline Mult,1000,0.227068149
